Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,% change during the day,VWAP,Total Traded Quantity,Turnover,No. of,Deliverable,% Dly Qt to
YESBANK,EQ,01-Jan-21,17.85,17.85,18.45,17.8,18.05,18,0.80%,18.13,"14,60,80,241","2,64,86,18,007.25","92,143","5,52,30,626",37.81
YESBANK,EQ,04-Jan-21,18,18.4,18.6,17.9,18,18,0.00%,18.14,"21,48,60,840","3,89,79,29,989.85","1,33,396","11,12,85,825",51.79
YESBANK,EQ,05-Jan-21,18,17.95,18.25,17.75,18.05,18,0.00%,17.99,"17,24,29,356","3,10,15,65,917.10","1,13,187","8,47,53,367",49.15
YESBANK,EQ,06-Jan-21,18,18.2,18.4,17.8,18.1,18,0.00%,18.12,"19,69,01,365","3,56,80,65,283.40","1,42,359","8,02,38,713",40.75
YESBANK,EQ,07-Jan-21,18,18.2,18.35,17.85,18,18,0.00%,18.05,"15,75,89,035","2,84,43,05,464.40","93,816","7,63,30,889",48.44
YESBANK,EQ,08-Jan-21,18,18.2,18.3,17.8,18.2,18.05,0.30%,18.02,"18,37,83,931","3,31,16,09,410.20","1,07,495","8,65,93,141",47.12
YESBANK,EQ,11-Jan-21,18.05,18.3,18.55,17.85,17.95,17.95,-0.60%,18.04,"18,93,73,243","3,41,57,46,649.35","1,07,038","8,13,79,872",42.97
YESBANK,EQ,12-Jan-21,17.95,17.85,18.5,17.6,18.05,18.05,0.60%,18.11,"32,09,93,651","5,81,29,88,533.75","1,24,857","11,79,55,681",36.75
YESBANK,EQ,13-Jan-21,18.05,18.15,18.3,17.15,17.8,17.8,-1.40%,17.85,"28,01,18,603","4,99,88,18,355.35","1,41,736","10,96,55,781",39.15
YESBANK,EQ,14-Jan-21,17.8,17.85,18.1,17.6,17.8,17.85,0.30%,17.85,"14,12,91,865","2,52,13,92,389.90","77,862","4,62,21,861",32.71
YESBANK,EQ,15-Jan-21,17.85,17.8,17.85,17.25,17.65,17.6,-1.40%,17.61,"16,35,16,334","2,88,01,27,183.05","1,11,546","7,30,22,516",44.66
YESBANK,EQ,18-Jan-21,17.6,18.1,18.1,17.45,17.65,17.7,0.60%,17.76,"21,08,83,697","3,74,61,35,167.60","1,11,869","8,28,31,526",39.28
YESBANK,EQ,19-Jan-21,17.7,17.85,18,17.6,17.9,17.9,1.10%,17.83,"12,80,56,245","2,28,37,74,962.75","80,657","6,17,97,289",48.26
YESBANK,EQ,20-Jan-21,17.9,17.95,18,17.4,17.65,17.65,-1.40%,17.66,"19,69,96,362","3,47,98,37,700.95","1,21,443","7,99,88,153",40.6
YESBANK,EQ,21-Jan-21,17.65,17.7,17.8,17.15,17.3,17.25,-2.30%,17.51,"22,94,36,846","4,01,85,65,395.95","1,39,178","9,76,91,479",42.58
YESBANK,EQ,22-Jan-21,17.25,17.35,17.5,16.75,17.1,17,-1.40%,17.07,"22,08,87,609","3,76,97,08,851.40","1,66,156","8,88,29,147",40.21
YESBANK,EQ,25-Jan-21,17,17.4,17.5,16.25,16.35,16.35,-3.80%,16.62,"32,63,57,534","5,42,55,76,464.65","2,38,873","11,88,89,874",36.43
YESBANK,EQ,27-Jan-21,16.35,16.2,16.2,15.7,15.75,15.75,-3.70%,15.85,"22,48,36,150","3,56,29,72,004.60","1,85,689","7,42,01,769",33
YESBANK,EQ,28-Jan-21,15.75,15.2,15.4,15,15,15.05,-4.40%,15.16,"31,28,39,641","4,74,20,97,396.50","2,46,750","11,22,30,570",35.87
YESBANK,EQ,29-Jan-21,15.05,15.1,15.8,15,15.8,15.75,4.70%,15.52,"18,31,10,147","2,84,22,65,465.20","1,41,983","7,32,32,293",39.99
YESBANK,EQ,01-Feb-21,15.75,16,16.5,15.45,16.5,16.4,4.10%,16.02,"18,65,99,301","2,98,96,13,093.65","1,38,834","6,65,35,915",35.66
YESBANK,EQ,02-Feb-21,16.4,16.55,16.85,16.1,16.55,16.55,0.90%,16.48,"18,05,87,323","2,97,61,64,640.70","1,09,805","6,20,57,990",34.36
YESBANK,EQ,03-Feb-21,16.55,16.65,16.65,16.2,16.25,16.25,-1.80%,16.42,"8,89,95,339","1,46,12,70,318.00","86,264","3,59,54,407",40.4
YESBANK,EQ,04-Feb-21,16.25,16.25,16.55,16.05,16.3,16.2,-0.30%,16.29,"12,91,99,434","2,10,45,50,989.10","90,044","5,34,40,556",41.36
YESBANK,EQ,05-Feb-21,16.2,16.85,17.45,16.75,16.9,16.9,4.30%,17,"23,55,52,294","4,00,33,69,480.45","1,51,331","9,21,76,146",39.13
YESBANK,EQ,08-Feb-21,16.9,17.15,17.3,16.9,17.1,17.05,0.90%,17.1,"13,27,88,785","2,27,02,45,123.30","1,24,143","5,61,51,231",42.29
YESBANK,EQ,09-Feb-21,17.05,17.1,17.1,16.6,16.7,16.65,-2.30%,16.82,"9,48,82,109","1,59,63,42,867.10","1,03,597","3,91,73,636",41.29
YESBANK,EQ,10-Feb-21,16.65,16.65,16.7,16.3,16.4,16.4,-1.50%,16.43,"8,01,83,508","1,31,75,11,535.10","95,161","3,29,67,952",41.12
YESBANK,EQ,11-Feb-21,16.4,16.4,16.7,16.3,16.5,16.5,0.60%,16.52,"5,80,79,419","95,93,70,570.40","75,038","2,13,55,884",36.77
YESBANK,EQ,12-Feb-21,16.5,16.5,16.55,16.35,16.4,16.4,-0.60%,16.44,"4,74,92,701","78,05,44,900.45","71,930","2,12,38,298",44.72
